task_id,arm,opportunity,path,response_id,response_model,finish_reason,kind,prompt_tokens,completion_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,wire_bytes,request_seed,reasoning_effort,max_completion_tokens,response_sha256
BAL-2-01,GS,round_01,continuation3/run/tasks/BAL-2-01/GS/round_01/response.json,chatcmpl-EMKHRynzNYndWFIFINRJWgRhn5x7r,gpt-5.6-terra-2026-07-09,stop,CONTENT,5192,472,448,0,5189,22088,104729,low,4096,787f7ee5a33caac748801626dfe73ea83932b2c154f9b1ea0269bced8c889acf
BAL-2-01,G0,shared_initial,continuation3/run/tasks/BAL-2-01/shared_generation/shared_initial/response.json,chatcmpl-EMKHFuaInuAYnJsHbYxPGkJmCg4QJ,gpt-5.6-terra-2026-07-09,stop,CONTENT,4428,840,740,0,4425,18030,104729,low,4096,c5ae2d79ea7c9f001bdbab9168c559c3078f07aee968da6d9a426ae6c9b49a63
BAL-2-02,GF,round_01,continuation3/run/tasks/BAL-2-02/GF/round_01/response.json,chatcmpl-EMKKJpI0SG3oITvAMumGYbW3g2aqd,gpt-5.6-terra-2026-07-09,stop,CONTENT,5930,511,451,0,5927,22870,104729,low,4096,b8fa01524696f48267ccbbcfc9793569758fc626948ae5260716a3acd4fce589
BAL-2-02,GS,round_01,continuation3/run/tasks/BAL-2-02/GS/round_01/response.json,chatcmpl-EMKJy4R5LEvRMr5n26Qncvd7kTYVS,gpt-5.6-terra-2026-07-09,stop,CONTENT,5243,997,931,0,5240,22259,104729,low,4096,4e0d6d9ccc343bb80bc8cf3297ea0a3592bf99002fce077331ecb71d3f221bf5
BAL-2-02,GS,round_02,continuation3/run/tasks/BAL-2-02/GS/round_02/response.json,chatcmpl-EMKKBwX1pRZGsTzLtY9JFdh0k55aI,gpt-5.6-terra-2026-07-09,stop,CONTENT,5243,443,419,0,5240,22259,104729,low,4096,1423a71fd0ee4936b637698d69037f9c341c6a35cef83afcc07223ff90f83e91
BAL-2-02,G0,shared_initial,continuation3/run/tasks/BAL-2-02/shared_generation/shared_initial/response.json,chatcmpl-EMKJll7Z9lEBXZvk9bhnIEWeeNpCQ,gpt-5.6-terra-2026-07-09,stop,CONTENT,4479,833,733,0,4476,18201,104729,low,4096,4b64374726798eab9f966e4669df69373eab13e9086f0203eff523fc9c70cfb3
BAL-2-03,GS,round_01,continuation3/run/tasks/BAL-2-03/GS/round_01/response.json,chatcmpl-EMRlO2A1tI6zvKAXmI8YLkASWPN4S,gpt-5.6-terra-2026-07-09,stop,CONTENT,5201,456,432,0,5198,22117,104729,low,4096,74b4be9ef46b0890986791780aad984ac05466629803fe5a41e7d44896353741
BAL-2-03,G0,shared_initial,continuation3/run/tasks/BAL-2-03/shared_generation/shared_initial/response.json,chatcmpl-EMRlD29R322EF0jkzGomM5unzUDdg,gpt-5.6-terra-2026-07-09,stop,CONTENT,4437,657,557,0,4434,18059,104729,low,4096,0caa02c06268a32608ab15b15fe0acd2221231879faaa76832acacb6826394d6
BAL-2-04,GS,round_01,continuation3/run/tasks/BAL-2-04/GS/round_01/response.json,chatcmpl-EMRk25tksuEhPuWzYkQD4tFTS8RKU,gpt-5.6-terra-2026-07-09,stop,CONTENT,5209,381,357,0,5206,22163,104729,low,4096,d071bdef52b23faf4a77e401c6014aaf7f06dc72f21815ed8fc3a9144c37b08d
BAL-2-04,G0,shared_initial,continuation3/run/tasks/BAL-2-04/shared_generation/shared_initial/response.json,chatcmpl-EMRjmY1wftnzJnMUzkdvIUgPF1QOC,gpt-5.6-terra-2026-07-09,stop,CONTENT,4445,1124,1024,0,4442,18105,104729,low,4096,13c898a903f1c502e3fec808c2fd5215df128aa1c0cb0489ebadca1611e6289f
BAL-2-05,GS,round_01,continuation3/run/tasks/BAL-2-05/GS/round_01/response.json,chatcmpl-EMK4MT4K8nFWsqp3rGNNrGED8Kykd,gpt-5.6-terra-2026-07-09,stop,CONTENT,5273,373,349,0,5270,22411,104729,low,4096,403dba771037767258b03894396cac330496f3739a1de5580de95a98e57c52e0
BAL-2-05,G0,shared_initial,continuation3/run/tasks/BAL-2-05/shared_generation/shared_initial/response.json,chatcmpl-EMK4AaJg2frE9netThvqfiUGoJ736,gpt-5.6-terra-2026-07-09,stop,CONTENT,4509,722,623,0,4506,18353,104729,low,4096,3512a7a1c5bd76104033e470684b7084a1d50bede1983e0eb2be626e2c2cc57d
BAL-2-06,GS,round_01,continuation3/run/tasks/BAL-2-06/GS/round_01/response.json,chatcmpl-EMKInRO4wna2hQVM3sHGATkqSuIch,gpt-5.6-terra-2026-07-09,stop,CONTENT,5273,454,430,0,5270,22387,104729,low,4096,aa57c4db086ca3d8f9bb8de8bbe4a1f28dfa69517584e4aa9a9228991249c59e
BAL-2-06,G0,shared_initial,continuation3/run/tasks/BAL-2-06/shared_generation/shared_initial/response.json,chatcmpl-EMKIciGsaOMJqhRUyMiHoNCUHCjuy,gpt-5.6-terra-2026-07-09,stop,CONTENT,4509,660,560,0,4506,18329,104729,low,4096,e431afa5c42abeae1df00376a1ef32f1a5970a03528c0dd62d9b4c2496e2fb2f
BAL-2-07,GS,round_01,continuation3/run/tasks/BAL-2-07/GS/round_01/response.json,chatcmpl-EMKJaHpp4STlKlgiyizqBegWvsv6d,gpt-5.6-terra-2026-07-09,stop,CONTENT,5214,536,512,0,5211,22211,104729,low,4096,234141f952e8d5d1ac5eaa39191f0aba5f21b52d71eabe8f0a73dc2a070b4913
BAL-2-07,G0,shared_initial,continuation3/run/tasks/BAL-2-07/shared_generation/shared_initial/response.json,chatcmpl-EMKJNrtGkZV8M2RKZCRJuGwRtoyHl,gpt-5.6-terra-2026-07-09,stop,CONTENT,4450,897,797,0,4447,18153,104729,low,4096,0fad40975767b2149d41ae6c780253df9979aea2856fcbebfcce4e9dd3b01d3e
BAL-2-08,GS,round_01,continuation3/run/tasks/BAL-2-08/GS/round_01/response.json,chatcmpl-EMRiegYFiw3q7pJTw8I5nEtrel3VD,gpt-5.6-terra-2026-07-09,stop,CONTENT,5254,352,328,0,5251,22285,104729,low,4096,c67f298ec0c600977d2a5deee19fbfebef6d042f3e9b5abb2ed6beb94da15981
BAL-2-08,G0,shared_initial,continuation3/run/tasks/BAL-2-08/shared_generation/shared_initial/response.json,chatcmpl-EMRiUMedpuoq2laCk0sDI2extRorJ,gpt-5.6-terra-2026-07-09,stop,CONTENT,4490,531,437,0,4487,18227,104729,low,4096,b6a6e38661c51038ebfa99efe4db8c8ee1f7c8355a1d34146499822d1e81e134
BAL-3-01,GS,round_01,continuation3/run/tasks/BAL-3-01/GS/round_01/response.json,chatcmpl-EMSF9mSrkZ2up41mDywuomRUiiJTW,gpt-5.6-terra-2026-07-09,stop,CONTENT,5380,495,471,0,5377,22844,104729,low,4096,1b9d1ca4241468b391da47ec95056ced6e2875e3b0865fa223acda775512cd96
BAL-3-01,G0,shared_initial,continuation3/run/tasks/BAL-3-01/shared_generation/shared_initial/response.json,chatcmpl-EMSEtwZR1SlxdF45VOG6HibfYfYgJ,gpt-5.6-terra-2026-07-09,stop,CONTENT,4571,862,752,0,4568,18562,104729,low,4096,c4cd6897b317b465016356b3eba44bd38b6937fb407e4ce9db7f1990378d2ccf
BAL-3-02,GS,round_01,continuation3/run/tasks/BAL-3-02/GS/round_01/response.json,chatcmpl-EMKH6cAEH8UcMSUTVxEVVAybd4OHE,gpt-5.6-terra-2026-07-09,stop,CONTENT,5463,316,292,0,5460,23182,104729,low,4096,de4b08ee736cae2062d5fd90a42551a948a524c0e4db271637165fee710d938c
BAL-3-02,G0,shared_initial,continuation3/run/tasks/BAL-3-02/shared_generation/shared_initial/response.json,chatcmpl-EMKGw15Tw2QmGi41vqEbYUpxGlQ5e,gpt-5.6-terra-2026-07-09,stop,CONTENT,4654,616,512,0,4651,18900,104729,low,4096,aae347f1d953be8eeb17b1f3a269bdd505153229471cfee11c8b53c2e5755736
BAL-3-03,GS,round_01,continuation3/run/tasks/BAL-3-03/GS/round_01/response.json,chatcmpl-EMRmIfbSzIW2wDr53RgYRxbZidjkS,gpt-5.6-terra-2026-07-09,stop,CONTENT,5389,327,303,0,5386,22873,104729,low,4096,11b01931be798c067da1a2986108dd10136125f1c6845614a1c3f41469c64cff
BAL-3-03,G0,shared_initial,continuation3/run/tasks/BAL-3-03/shared_generation/shared_initial/response.json,chatcmpl-EMRm1DWZf1XzewqNxxZ5W9uKOCrkV,gpt-5.6-terra-2026-07-09,stop,CONTENT,4580,941,832,0,4577,18591,104729,low,4096,1308272ad729d769b419875f4ef0d2aa5a3ad13d3154280881912936de042c34
BAL-3-04,GS,round_01,continuation3/run/tasks/BAL-3-04/GS/round_01/response.json,chatcmpl-EMRlqYqx0yORpnmP1v8MV1pogu66v,gpt-5.6-terra-2026-07-09,stop,CONTENT,5397,536,512,0,5394,22919,104729,low,4096,20321068d5a003be96dfb690c779a34af4e2ab83d7db21451863f0205e7a80a9
BAL-3-04,G0,shared_initial,continuation3/run/tasks/BAL-3-04/shared_generation/shared_initial/response.json,chatcmpl-EMRlYRf3jT2iczQfm5d4PIeRQos8x,gpt-5.6-terra-2026-07-09,stop,CONTENT,4588,990,880,0,4585,18637,104729,low,4096,b7eca57b6d55669b36fa02558cca22e8e1d4cd394e805572b856b5f51295b6fb
BAL-3-05,GS,round_01,continuation3/run/tasks/BAL-3-05/GS/round_01/response.json,chatcmpl-EMKGm3toJZKgd6zh0sv62dtPVUZvu,gpt-5.6-terra-2026-07-09,stop,CONTENT,5467,483,459,0,5464,23181,104729,low,4096,9bacf780325696e649b8b4e504db846af8b966eaef6fd80d5b2ee0a8a9995f2c
BAL-3-05,G0,shared_initial,continuation3/run/tasks/BAL-3-05/shared_generation/shared_initial/response.json,chatcmpl-EMKGdSq2OVT2F07k02kUDGV2SfpJ9,gpt-5.6-terra-2026-07-09,stop,CONTENT,4652,509,402,0,4649,18885,104729,low,4096,de3dcc743cf110bdaab72ab5cc527e919cce9ac1a976f5394061f7f1a1a2919d
BAL-3-06,GF,round_01,continuation3/run/tasks/BAL-3-06/GF/round_01/response.json,chatcmpl-EMKJFbtGAv9CAxHijY304MTEQGUHA,gpt-5.6-terra-2026-07-09,stop,CONTENT,5976,357,312,0,5973,23051,104729,low,4096,6ed47c1dc9feb6676f771c5725f082698ccceaa56c59710917e86af6f9bdf05b
BAL-3-06,GS,round_01,continuation3/run/tasks/BAL-3-06/GS/round_01/response.json,chatcmpl-EMKJ6XPl5VJ3yCoTM51TMkJjZB5yh,gpt-5.6-terra-2026-07-09,stop,CONTENT,5461,527,503,0,5458,23143,104729,low,4096,7874df41c2bd68d65c5bac290dfc59ec1662fa08e2a71cf27cd2b9fab790e219
BAL-3-06,G0,shared_initial,continuation3/run/tasks/BAL-3-06/shared_generation/shared_initial/response.json,chatcmpl-EMKIwWslv492YnUhvACKZmIdFtYmQ,gpt-5.6-terra-2026-07-09,stop,CONTENT,4652,545,441,0,4649,18861,104729,low,4096,8ccc756e2c7303a123de34d6a72a30f82ae4a308d702127757e617a470512cf2
BAL-3-07,GF,round_01,continuation3/run/tasks/BAL-3-07/GF/round_01/response.json,chatcmpl-EMKGUPJ5QtVRiKYthMTPsnGLGq2nC,gpt-5.6-terra-2026-07-09,stop,CONTENT,5917,481,437,0,5914,22875,104729,low,4096,483cc0e3e0e01df90bcb4cf98e594a50ae013843cb393a365c9d04ee384f3d3b
BAL-3-07,GS,round_01,continuation3/run/tasks/BAL-3-07/GS/round_01/response.json,chatcmpl-EMKG9Hz8ihVyK0UCuS3jcYqelm4as,gpt-5.6-terra-2026-07-09,stop,CONTENT,5402,664,613,0,5399,22967,104729,low,4096,3e721dad18886d5edf75defce68357bef5f71ca9f73fdd817b95e9afc226b05d
BAL-3-07,GS,round_02,continuation3/run/tasks/BAL-3-07/GS/round_02/response.json,chatcmpl-EMKGJmisoWUXWgRGoMSsaiDt23TxL,gpt-5.6-terra-2026-07-09,stop,CONTENT,5402,691,661,0,5399,22967,104729,low,4096,da9dbe25bfb772f38b471ee79a3ef63b560c207e3ae8f7065dfb9cfb549192d0
BAL-3-07,G0,shared_initial,continuation3/run/tasks/BAL-3-07/shared_generation/shared_initial/response.json,chatcmpl-EMKFzmckn3oFSGEGlYg4uH1EomcXV,gpt-5.6-terra-2026-07-09,stop,CONTENT,4593,593,489,0,4590,18685,104729,low,4096,6fc27149ee16b521ae429400e4eb61b01f7a57e75d065dbf3a79abfe9562116e
BAL-3-08,GS,round_01,continuation3/run/tasks/BAL-3-08/GS/round_01/response.json,chatcmpl-EMRl3fmW0lxZKH9xtXZiYnK9c6KPL,gpt-5.6-terra-2026-07-09,stop,CONTENT,5442,448,424,0,5439,23041,104729,low,4096,86aab7582e52bef4961b950c85a35c4a3df611358fce23c766e2659004a4e58e
BAL-3-08,G0,shared_initial,continuation3/run/tasks/BAL-3-08/shared_generation/shared_initial/response.json,chatcmpl-EMRkpdVhuTsenJnlrc7WyUDiSd0CF,gpt-5.6-terra-2026-07-09,stop,CONTENT,4633,845,735,0,4630,18759,104729,low,4096,7beb5e0fde2e027c0f4107e19b7c57faec53b666316590064e7942d6b5809f91
