constraint_type,expression,id,id_type,scope_path,targets,title,is_active,references,value,xml_example_content,targetRefs,confidence,review_issues
relationship,"Similar to [constr_1176], a CompuScale where the category of the enclosing CompuMethod is set to IDENTICAL is considered compatible to a CompuScale where the category of the enclosing CompuMethod is set to RAT_FUNC or LINEAR if the following rule applies: 
int = (N0+N1*phys+Ni*physi) / (D0+D1*phys+Di*physi) = phys 
This is the case for N0 ~ 0 && D0 ~ 1 && N1 ~ 1 && D1 ~ 0 && Ni ~ Di ~ 0 ∀i > 1.",constr_1192,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.4 Compatibility of SwDataDefProps', '6.2.4.5 Compatibility of CompuMethods']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'CompuScale'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'CompuMethod'}]","Compatibility of ""IDENTICAL"" to ""RAT_FUNC"" or ""LINEAR""",True,['constr_1176'],,,"['CompuMethod.category', 'CompuScale._classLevel']",0.9,"[""属性 'category' 在元数据类 'CompuMethod' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"An ApplicationDataType of category VALUE can only be mapped/connected to an ImplementationDataType which also has category VALUE. In this case, the ImplementationDataType.baseType shall be able to express all the numerical values required by the ApplicationDataType, see Figure 5.6. This condition is fulfilled if the numerical range which can be expressed by the SwBaseType at least covers the range defined by the limits in ApplicationDataType.swDataDefProps.dataConstr (which are either internal limits or physical limits to be converted via the CompuMethod which also has to be provided by the ApplicationDataType). The condition is also fulfilled if the SwBaseType covers the range defined in the CompuMethod for an enumeration (see 5.5.1.3).",constr_1059,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.5 Compatibility of ApplicationDataType and ImplementationDataType']","[{'entityType': 'class', 'targetAttributes': ['category', 'swDataDefProps'], 'targetEntityName': 'ApplicationDataType'}, {'entityType': 'class', 'targetAttributes': ['category', 'baseType'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'SwBaseType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'CompuMethod'}]",Compatibility of data types with category VALUE,True,[],,,"['ApplicationDataType.category', 'ApplicationDataType.swDataDefProps', 'CompuMethod._classLevel', 'ImplementationDataType.baseType', 'ImplementationDataType.category', 'SwBaseType._classLevel']",0.9,"[""属性 'baseType' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"In case that only the ImplementationDataType may ""define"" the property this definition shall fit into the semantical requirements given by the ApplicationDataType in order to make the two types compatible. This is namely important for the attribute baseType and is explained above in the rule for types of category VALUE.",Constr_SwDataDefProps_ImplDefinesProperty,additional_binding,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.5 Compatibility of ApplicationDataType and ImplementationDataType']","[{'entityType': 'class', 'targetAttributes': ['baseType'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationDataType'}, {'entityType': 'class', 'targetAttributes': ['baseType'], 'targetEntityName': 'SwDataDefProps'}]",SwDataDefProps compatibility when ImplementationDataType defines property,True,[],,,"['ApplicationDataType._classLevel', 'ImplementationDataType.baseType', 'SwDataDefProps.baseType']",0.9,"[""属性 'baseType' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"In case the ImplementationDataType may ""add"" a property it may only add but not change a property defined by the ApplicationDataType (namely note, displayFormat, and swImplPolicy) in order to be compatible. This means that the respective computation methods can be defined in only one of the types in order to be compatible. In all other cases, only the ApplicationDataType may define the computation method.",Constr_SwDataDefProps_ImplAddsProperty,additional_binding,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.5 Compatibility of ApplicationDataType and ImplementationDataType']","[{'entityType': 'class', 'targetAttributes': ['note', 'displayFormat', 'swImplPolicy'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['note', 'displayFormat', 'swImplPolicy'], 'targetEntityName': 'ApplicationDataType'}, {'entityType': 'class', 'targetAttributes': ['note', 'displayFormat', 'swImplPolicy'], 'targetEntityName': 'SwDataDefProps'}]",SwDataDefProps compatibility when ImplementationDataType adds property,True,[],,,"['ApplicationDataType.displayFormat', 'ApplicationDataType.note', 'ApplicationDataType.swImplPolicy', 'ImplementationDataType.displayFormat', 'ImplementationDataType.note', 'ImplementationDataType.swImplPolicy', 'SwDataDefProps.displayFormat', 'SwDataDefProps.note', 'SwDataDefProps.swImplPolicy']",0.9,"[""属性 'note' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'displayFormat' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swImplPolicy' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'note' 在元数据类 'ApplicationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'displayFormat' 在元数据类 'ApplicationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swImplPolicy' 在元数据类 'ApplicationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'note' 在元数据类 'SwDataDefProps' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,"The case that an ImplementationDataType may ""redefine"" a property which is already set by the ApplicationDataType is not considered as relevant for the compatibility with respect to mapping of the types in general but of course there may be project specific rules as to which redefinition is allowed (e.g. for swAddrMethod or dataConstr).",Constr_SwDataDefProps_ImplRedefinesProperty,additional_binding,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.5 Compatibility of ApplicationDataType and ImplementationDataType']","[{'entityType': 'class', 'targetAttributes': ['swAddrMethod', 'dataConstr'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['swAddrMethod', 'dataConstr'], 'targetEntityName': 'ApplicationDataType'}, {'entityType': 'class', 'targetAttributes': ['swAddrMethod', 'dataConstr'], 'targetEntityName': 'SwDataDefProps'}]",SwDataDefProps redefinition relevance for compatibility,True,[],,,"['ApplicationDataType.dataConstr', 'ApplicationDataType.swAddrMethod', 'ImplementationDataType.dataConstr', 'ImplementationDataType.swAddrMethod', 'SwDataDefProps.dataConstr', 'SwDataDefProps.swAddrMethod']",0.9,"[""属性 'swAddrMethod' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'dataConstr' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'swAddrMethod' 在元数据类 'ApplicationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'dataConstr' 在元数据类 'ApplicationDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"DataPrototypes of ApplicationCompositeDataTypes or ImplementationDataTypes of category STRUCTURE or ARRAY are compatible if one of the following conditions evaluates to true:

1. The underlying ApplicationCompositeDataTypes or ImplementationDataTypes of category STRUCTURE or ARRAY are identical

2. The underlying ApplicationCompositeDataTypes or ImplementationDataTypes of category STRUCTURE or ARRAY fulfill the following condition:
• They consist of the same number of elements and
• They are composed of compatible AutosarDataTypes (either ApplicationCompositeDataTypes or ImplementationDataTypes of category STRUCTURE or ARRAY OR ApplicationPrimitiveDataTypes or ImplementationDataTypes of category VALUE, BOOLEAN, or STRING) in the same order and
• All attributes match exactly, with the exception of the shortName of the M1 AutosarDataType.

3. In the context of a DataPrototypeMapping, for each ApplicationCompositeElementDataPrototype of the required DataPrototype a SubElementMapping exists such that a ApplicationCompositeDataTypeSubElementRef in the role firstElement or secondElement exists that references the required ApplicationCompositeElementDataPrototype and a corresponding ApplicationCompositeDataTypeSubElementRef exists in the other role (i.e. secondElement or firstElement) that in turn references an ApplicationCompositeElementDataPrototype of the provided ApplicationCompositeDataType.

4. If and only if the DataPrototype is not typed by an ApplicationDataType but by an ImplementationDataType: in the context of a DataPrototypeMapping, for each ImplementationDataTypeElement of the required DataPrototype a SubElementMapping exists such that a ImplementationDataTypeSubElementRef in the role firstElement or secondElement exists that references the required ImplementationDataTypeElement and a corresponding ImplementationDataTypeSubElementRef exists in the other role (i.e. secondElement or firstElement) that in turn references an ImplementationDataTypeElement of the provided ImplementationDataType.",constr_1187,constr,"['6 Compatibility', '6.3 Compatibility of Variable Data Prototypes and Parameter Data Prototypes']","[{'entityType': 'class', 'targetAttributes': ['type'], 'targetEntityName': 'DataPrototype'}, {'entityType': 'class', 'targetAttributes': ['category', 'shortName'], 'targetEntityName': 'ApplicationCompositeDataType'}, {'entityType': 'class', 'targetAttributes': ['category', 'shortName'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'AutosarDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DataPrototypeMapping'}, {'entityType': 'class', 'targetAttributes': ['firstElement', 'secondElement'], 'targetEntityName': 'SubElementMapping'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationCompositeElementDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['applicationCompositeElement'], 'targetEntityName': 'ApplicationCompositeDataTypeSubElementRef'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ImplementationDataTypeElement'}, {'entityType': 'class', 'targetAttributes': ['implementationDataTypeElement'], 'targetEntityName': 'ImplementationDataTypeSubElementRef'}]",Compatibility of VariableDataPrototypes or ParameterDataPrototypes typed by composite data types,True,[],,,"['ApplicationCompositeDataType.category', 'ApplicationCompositeDataType.shortName', 'ApplicationCompositeDataTypeSubElementRef.applicationCompositeElement', 'ApplicationCompositeElementDataPrototype._classLevel', 'AutosarDataType._classLevel', 'DataPrototype.type', 'DataPrototypeMapping._classLevel', 'ImplementationDataType.category', 'ImplementationDataType.shortName', 'ImplementationDataTypeElement._classLevel', 'ImplementationDataTypeSubElementRef.implementationDataTypeElement', 'SubElementMapping.firstElement', 'SubElementMapping.secondElement']",0.9,"[""属性 'type' 在元数据类 'DataPrototype' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"PortPrototypes of different DataInterfaces are considered compatible if and only if

1. For at least one VariableDataPrototype or ParameterDataPrototype defined in the context of the DataInterface of the required outer PortPrototype a compatible VariableDataPrototype or ParameterDataPrototype exists in the DataInterface of the provided outer PortPrototype.

The table 6.1 defines which elements of PortInterface are considered compatible depending on the type of PortInterface as well as the attribute swImplPolicy of the elements of PortInterfaces.

Either the shortName of VariableDataPrototypes and ParameterDataPrototypes are used to identify the pair or a PortInterfaceMapping exists that defines which differently named elements of PortInterfaces correlate with each other.

2. For each such pair, the values of the PortInterface.isService attributes are identical.",constr_1248,constr,"['6 Compatibility', '6.4 Compatibility of Sender Receiver Interfaces, Parameter Interfaces and Non Volatile Data Interfaces', '6.4.3 Connection of Required and Provided Port via PassThroughSwConnector']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PortPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DataInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PassThroughSwConnector'}, {'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'VariableDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'ParameterDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['isService', 'swImplPolicy'], 'targetEntityName': 'PortInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PortInterfaceMapping'}]",Compatibility of PortPrototypes of different DataInterfaces in the context of a PassThroughSwConnector,True,[],,,"['DataInterface._classLevel', 'ParameterDataPrototype.shortName', 'PassThroughSwConnector._classLevel', 'PortInterface.isService', 'PortInterface.swImplPolicy', 'PortInterfaceMapping._classLevel', 'PortPrototype._classLevel', 'VariableDataPrototype.shortName']",0.9,"[""属性 'swImplPolicy' 在元数据类 'PortInterface' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"ModeDeclarationGroups are compatible if and only if one of the following conditions applies:
1. All of the following subconditions apply:
(a) They define an identical number of ModeDeclarations.
(b) Each ModeDeclaration on the required side corresponds to a ModeDeclaration on the provided side with an identical shortName.
(c) The initialModes on both sides refer to ModeDeclarations with identical shortNames.
(d) The attribute ModeDeclarationGroup.modeUserErrorBehavior.errorReactionPolicy has identical values on both sides.
(e) The attribute ModeDeclarationGroup.modeManagerErrorBehavior.errorReactionPolicy has identical values on both sides.
(f) The attribute ModeDeclarationGroup.modeUserErrorBehavior.defaultMode either does not exist on both sides or refers on both sides to ModeDeclarations with identical shortNames.
(g) The attribute ModeDeclarationGroup.modeManagerErrorBehavior.defaultMode either does not exist on both sides or refers on both sides to ModeDeclarations with identical shortNames.
(h) one of the following subconditions applies:
• the attribute category has the value ALPHABETIC_ORDER on both sides.
• the attribute category has the value EXPLICIT_ORDER on both sides and the matching ModeDeclarations according to 1(b) have the identical values of the attributes ModeDeclaration.value and also the value of ModeDeclarationGroup.onTransitionValue matches on both sides.
2. A ModeDeclarationMapping is applied which identifies the corresponding ModeDeclarations.
In addition, the compatibility of corresponding ModeTransitions shall be checked, i.e. [constr_1194] and [constr_1245] apply.",constr_1075,constr,"['6 Compatibility', '6.7 Compatibility of Mode Declaration Groups']","[{'entityType': 'class', 'targetAttributes': ['modeDeclaration', 'initialMode', 'modeUserErrorBehavior', 'modeManagerErrorBehavior', 'category', 'onTransitionValue'], 'targetEntityName': 'ModeDeclarationGroup'}, {'entityType': 'class', 'targetAttributes': ['shortName', 'value'], 'targetEntityName': 'ModeDeclaration'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ModeDeclarationMapping'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ModeTransition'}]",Compatibility of ModeDeclarationGroups,True,"['constr_1194', 'constr_1245']",,,"['ModeDeclaration.shortName', 'ModeDeclaration.value', 'ModeDeclarationGroup.category', 'ModeDeclarationGroup.initialMode', 'ModeDeclarationGroup.modeDeclaration', 'ModeDeclarationGroup.modeManagerErrorBehavior', 'ModeDeclarationGroup.modeUserErrorBehavior', 'ModeDeclarationGroup.onTransitionValue', 'ModeDeclarationMapping._classLevel', 'ModeTransition._classLevel']",0.9,"[""属性 'shortName' 在元数据类 'ModeDeclaration' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"Two ModeDeclarationGroups contain identical modeTransitions if and only if
1. For each ModeTransition defined in the context of the mode provider one ModeTransition with the same shortName is defined in the context of the mode user.
2. Each pair of ModeTransitions in both ModeDeclarationGroups identified by their respective shortName have identical targets (in terms of the shortName of the referenced ModeDeclaration) of the references enteredMode and exitedMode.",constr_1194,constr,"['6 Compatibility', '6.7 Compatibility of Mode Declaration Groups']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ModeDeclarationGroup'}, {'entityType': 'class', 'targetAttributes': ['shortName', 'enteredMode', 'exitedMode'], 'targetEntityName': 'ModeTransition'}, {'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'ModeDeclaration'}]",Identical ModeTransitions,True,[],,,"['ModeDeclaration.shortName', 'ModeDeclarationGroup._classLevel', 'ModeTransition.enteredMode', 'ModeTransition.exitedMode', 'ModeTransition.shortName']",0.9,"[""属性 'shortName' 在元数据类 'ModeDeclaration' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"The delegation of a provided outer PortPrototype is properly defined if the following criteria are fulfilled:

1. For each VariableDataPrototype or ParameterDataPrototype present in the SenderReceiverInterface, NvDataInterface, or Parameter Interface of the provided outer PortPrototype at least one connection via DelegationSwConnector to a provided inner PortPrototype or PassThroughSwConnector to a required outer PortPrototype with a compatible VariableDataPrototype or ParameterDataPrototype in the SenderReceiverInterface NvDataInterface or ParameterInterface of the provided inner PortPrototype or required outer PortPrototype exists. Either the shortNames of VariableDataPrototypes or ParameterDataPrototypes are used to identify the pair or a PortInterfaceMapping defines which differently named PortInterface elements correlate with each other. Table 6.1 defines which PortInterface elements are compatible depending on the kind of PortInterface and the swImplPolicy attributes of the Port Interface elements.

2. For each VariableDataPrototype provided by a PRPortPrototype that is typed by a SenderReceiverInterface or NvDataInterface and that is referenced in the role outerPort by a DelegationSwConnector a corresponding VariableDataPrototype owned by an innerPort shall be provided by either a PPortPrototype or a PRPortPrototype. Either the shortNames of VariableDataPrototypes are used to identify the pair or a PortInterfaceMapping defines which differently named PortInterface elements correlate with each other.

3. For the ModeDeclarationGroupPrototype present in the ModeSwitch Interface of the provided outer PortPrototype exactly one connection via DelegationSwConnector to a provided inner PortPrototype or PassThroughSwConnector to a required outer PortPrototype with a compatible ModeDeclarationGroupPrototype in the ModeSwitchInterface of the provided inner PortPrototype or required outer PortPrototype exists. Either the shortNames of ModeDeclarationGroupPrototypes are used to identify the pair or a PortInterfaceMapping defines which differently named PortInterface elements correlate with each other.

4. For each ClientServerOperation present in the ClientServerInterface of the provided outer PortPrototype exactly one connection via DelegationSwConnector to a provided inner PortPrototype or PassThroughSwConnector to a required outer PortPrototype with a compatible ClientServerOperation in the ClientServerInterface of the provided inner PortPrototype or required outer PortPrototype exists. Either the shortNames of ClientServerOperations are used to identify the pair or a PortInterfaceMapping defines which differently named PortInterface elements correlate with each other.

5. For each Trigger present in the TriggerInterface of the provided outer PortPrototype exactly one connection via DelegationSwConnector to a provided inner PortPrototype or PassThroughSwConnector to a required outer PortPrototype with a compatible Trigger in the TriggerInterface of the provided inner PortPrototype or required outer PortPrototype exists. Either the shortNames of Triggers are used to identify the pair or a PortInterfaceMapping defines which differently named PortInterface elements correlate with each other.",constr_1084,constr,"['6 Compatibility', '6.14 Entire Delegation of a Provided Port Prototype']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PortPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DelegationSwConnector'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PassThroughSwConnector'}, {'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'VariableDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'ParameterDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'SenderReceiverInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'NvDataInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ParameterInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PortInterfaceMapping'}, {'entityType': 'class', 'targetAttributes': ['swImplPolicy'], 'targetEntityName': 'PortInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PRPortPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PPortPrototype'}, {'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'ModeDeclarationGroupPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ModeSwitchInterface'}, {'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'ClientServerOperation'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ClientServerInterface'}, {'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'Trigger'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'TriggerInterface'}]",delegation of a provided outer PortPrototype,True,[],,,"['ClientServerInterface._classLevel', 'ClientServerOperation.shortName', 'DelegationSwConnector._classLevel', 'ModeDeclarationGroupPrototype.shortName', 'ModeSwitchInterface._classLevel', 'NvDataInterface._classLevel', 'PPortPrototype._classLevel', 'PRPortPrototype._classLevel', 'ParameterDataPrototype.shortName', 'ParameterInterface._classLevel', 'PassThroughSwConnector._classLevel', 'PortInterface.swImplPolicy', 'PortInterfaceMapping._classLevel', 'PortPrototype._classLevel', 'SenderReceiverInterface._classLevel', 'Trigger.shortName', 'TriggerInterface._classLevel', 'VariableDataPrototype.shortName']",0.9,"[""属性 'swImplPolicy' 在元数据类 'PortInterface' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"PortPrototypes of different SenderReceiverInterfaces, NvDataInterfaces, and ParameterInterfaces are compatible if and only if for at least one VariableDataPrototype or ParameterDataPrototype defined in the context of the SenderReceiverInterface, NvDataInterface, or ParameterInterface of the RPortPrototype a compatible VariableDataPrototype or ParameterDataPrototype exists in the SenderReceiverInterface, NvDataInterface, or ParameterInterface of the provided PortPrototype.

The compatibility of PortInterface elements depends on the kind of PortInterface and the swImplPolicy attributes of the PortInterface elements. Either the shortNames of VariableDataPrototypes and ParameterDataPrototypes are used to identify the pair or a PortInterfaceMapping defines which differently named PortInterface elements correlate with each other.",constr_1085,constr,"['6 Compatibility', '6.14 Entire Delegation of a Provided Port Prototype', '6.15 Compatibility in Case of a Flat ECU Extract']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PortPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'SenderReceiverInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'NvDataInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ParameterInterface'}, {'entityType': 'class', 'targetAttributes': ['shortName', '_classLevel'], 'targetEntityName': 'VariableDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['shortName', '_classLevel'], 'targetEntityName': 'ParameterDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'RPortPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PPortPrototype'}, {'entityType': 'class', 'targetAttributes': ['swImplPolicy'], 'targetEntityName': 'PortInterface'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PortInterfaceMapping'}]",Compatibility in the case of a flat ECU extract,True,[],,,"['NvDataInterface._classLevel', 'PPortPrototype._classLevel', 'ParameterDataPrototype._classLevel', 'ParameterDataPrototype.shortName', 'ParameterInterface._classLevel', 'PortInterface.swImplPolicy', 'PortInterfaceMapping._classLevel', 'PortPrototype._classLevel', 'RPortPrototype._classLevel', 'SenderReceiverInterface._classLevel', 'VariableDataPrototype._classLevel', 'VariableDataPrototype.shortName']",0.9,"[""属性 'swImplPolicy' 在元数据类 'PortInterface' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,"When merging multiple AssemblySwConnectors (connecting AbstractProvidedPortPrototypes) into a single DelegationSwConnector (connected to an AbstractRequiredPortPrototype within a CompositionSwComponentType), the resulting interface set must be compatible. Supplying data elements (DataPrototypes) not consistently provided by all merged sources or required by the target port without proper reconciliation (e.g., via InterfaceMapping) constitutes an illegal merge, violating AUTOSAR port merging rules.",Figure_6_12,additional_binding,"['6 Compatibility', '6.16 Compatibility Examples', '6.16.2 Compatibility on Delegation Level', 'Figure 6.12 Illegal merge of delegation connector']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'AssemblySwConnector'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DelegationSwConnector'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'AbstractProvidedPortPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'AbstractRequiredPortPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DataPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'InterfaceMapping'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'CompositionSwComponentType'}]",Illegal merge of delegation connector: Interface compatibility,True,[],,,"['AbstractProvidedPortPrototype._classLevel', 'AbstractRequiredPortPrototype._classLevel', 'AssemblySwConnector._classLevel', 'CompositionSwComponentType._classLevel', 'DataPrototype._classLevel', 'DelegationSwConnector._classLevel', 'InterfaceMapping._classLevel']",0.9,"[""目标类 'InterfaceMapping' 在元数据中未找到。""]"
